  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6455   0.02535   0.02215  -0.0923   0.9761   0.0234
  -9.750  -0.6166   0.02485   0.02160  -0.0933   0.9737   0.0242
  -9.500  -0.5877   0.02390   0.02055  -0.0945   0.9718   0.0248
  -9.250  -0.5571   0.02300   0.01955  -0.0960   0.9704   0.0257
  -9.000  -0.5323   0.02211   0.01855  -0.0961   0.9657   0.0264
  -8.750  -0.5023   0.02099   0.01726  -0.0975   0.9630   0.0271
  -8.500  -0.4696   0.02002   0.01615  -0.0992   0.9608   0.0278
  -8.250  -0.4466   0.01917   0.01518  -0.0987   0.9538   0.0282
  -8.000  -0.4186   0.01826   0.01414  -0.0992   0.9478   0.0285
  -7.750  -0.3863   0.01739   0.01315  -0.1006   0.9430   0.0288
  -7.500  -0.3595   0.01673   0.01237  -0.1007   0.9361   0.0291
  -7.250  -0.3320   0.01667   0.01228  -0.1007   0.9281   0.0295
  -7.000  -0.3008   0.01653   0.01206  -0.1014   0.9214   0.0298
  -6.750  -0.2803   0.01537   0.01075  -0.1002   0.9123   0.0298
  -6.500  -0.2555   0.01447   0.00968  -0.0998   0.9036   0.0298
  -6.250  -0.2322   0.01363   0.00871  -0.0990   0.8952   0.0298
  -6.000  -0.2072   0.01324   0.00824  -0.0984   0.8862   0.0299
 -10.000  -0.6455   0.02535   0.02215  -0.0923   0.9761   0.0234
  -9.750  -0.6166   0.02485   0.02160  -0.0933   0.9737   0.0242
  -9.500  -0.5877   0.02390   0.02055  -0.0945   0.9718   0.0248
  -9.250  -0.5571   0.02300   0.01955  -0.0960   0.9704   0.0257
  -9.000  -0.5323   0.02211   0.01855  -0.0961   0.9657   0.0264
  -8.750  -0.5023   0.02099   0.01726  -0.0975   0.9630   0.0271
  -8.500  -0.4696   0.02002   0.01615  -0.0992   0.9608   0.0278
  -8.250  -0.4466   0.01917   0.01518  -0.0987   0.9538   0.0282
  -8.000  -0.4186   0.01826   0.01414  -0.0992   0.9478   0.0285
  -7.750  -0.3863   0.01739   0.01315  -0.1006   0.9430   0.0288
  -7.500  -0.3595   0.01673   0.01237  -0.1007   0.9361   0.0291
  -7.250  -0.3320   0.01667   0.01228  -0.1007   0.9281   0.0295
  -7.000  -0.3008   0.01653   0.01206  -0.1014   0.9214   0.0298
  -6.750  -0.2803   0.01537   0.01075  -0.1002   0.9123   0.0298
  -6.500  -0.2555   0.01447   0.00968  -0.0998   0.9036   0.0298
  -6.250  -0.2322   0.01363   0.00871  -0.0990   0.8952   0.0298
  -6.000  -0.2072   0.01324   0.00824  -0.0984   0.8862   0.0299
 -10.000  -0.6455   0.02535   0.02215  -0.0923   0.9761   0.0234
  -9.750  -0.6166   0.02485   0.02160  -0.0933   0.9737   0.0242
  -9.500  -0.5877   0.02390   0.02055  -0.0945   0.9718   0.0248
  -9.250  -0.5571   0.02300   0.01955  -0.0960   0.9704   0.0257
  -9.000  -0.5323   0.02211   0.01855  -0.0961   0.9657   0.0264
  -8.750  -0.5023   0.02099   0.01726  -0.0975   0.9630   0.0271
  -8.500  -0.4696   0.02002   0.01615  -0.0992   0.9608   0.0278
  -8.250  -0.4466   0.01917   0.01518  -0.0987   0.9538   0.0282
  -8.000  -0.4186   0.01826   0.01414  -0.0992   0.9478   0.0285
  -7.750  -0.3863   0.01739   0.01315  -0.1006   0.9430   0.0288
  -7.500  -0.3595   0.01673   0.01237  -0.1007   0.9361   0.0291
  -7.250  -0.3320   0.01667   0.01228  -0.1007   0.9281   0.0295
  -7.000  -0.3008   0.01653   0.01206  -0.1014   0.9214   0.0298
  -6.750  -0.2803   0.01537   0.01075  -0.1002   0.9123   0.0298
  -6.500  -0.2555   0.01447   0.00968  -0.0998   0.9036   0.0298
  -6.250  -0.2322   0.01363   0.00871  -0.0990   0.8952   0.0298
