Y,Cl
-17.7132,3.06271
-17.1396,2.76943
-16.566,2.20986
-15.9924,1.80334
-15.4189,1.52506
-14.8453,1.32775
-14.2717,1.18186
-13.6981,1.06998
-13.1245,0.981549
-12.5509,0.909875
-11.9773,0.850553
-11.4038,0.800566
-10.8302,0.757779
-10.2566,0.720636
-9.683,0.687966
-9.10941,0.658856
-8.53583,0.63256
-7.96224,0.608424
-7.38865,0.585799
-6.81507,0.563912
-6.24148,0.541664
-5.66789,0.514882
-5.09431,0.488627
-4.52072,0.469117
-3.94714,0.479965
-3.41383,0.527293
-2.92079,0.602613
-2.42776,0.643476
-1.93473,0.63685
-1.44169,0.622003
-0.948661,0.627464
-0.455628,0.635046
-0.104556,0.640486
0.104556,0.640486
0.455628,0.635046
0.948661,0.627464
1.44169,0.622003
1.93473,0.63685
2.42776,0.643476
2.92079,0.602613
3.41383,0.527293
3.94714,0.479965
4.52072,0.469117
5.09431,0.488627
5.66789,0.514882
6.24148,0.541664
6.81507,0.563912
7.38865,0.585799
7.96224,0.608424
8.53583,0.63256
9.10941,0.658856
9.683,0.687966
10.2566,0.720636
10.8302,0.757779
11.4038,0.800566
11.9773,0.850553
12.5509,0.909875
13.1245,0.981549
13.6981,1.06998
14.2717,1.18186
14.8453,1.32775
15.4189,1.52506
15.9924,1.80334
16.566,2.20986
17.1396,2.76943
17.7132,3.06271
