  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)-212                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8502   0.02601   0.02215  -0.0438   0.9908   0.0118
  -9.500  -0.7980   0.02122   0.01675  -0.0469   0.9761   0.0129
  -9.250  -0.7688   0.02018   0.01562  -0.0483   0.9671   0.0133
  -9.000  -0.7415   0.01967   0.01504  -0.0489   0.9560   0.0137
  -8.750  -0.7185   0.01901   0.01427  -0.0485   0.9440   0.0141
  -8.500  -0.6967   0.01833   0.01347  -0.0478   0.9329   0.0145
  -8.250  -0.6748   0.01768   0.01271  -0.0470   0.9224   0.0151
  -8.000  -0.6522   0.01701   0.01192  -0.0463   0.9129   0.0156
  -7.750  -0.6291   0.01652   0.01130  -0.0457   0.9040   0.0160
  -7.500  -0.6051   0.01608   0.01077  -0.0452   0.8949   0.0163
  -7.250  -0.5837   0.01472   0.00927  -0.0443   0.8869   0.0167
  -7.000  -0.5631   0.01351   0.00798  -0.0434   0.8784   0.0174
  -6.750  -0.5394   0.01301   0.00743  -0.0429   0.8708   0.0180
  -6.500  -0.5148   0.01266   0.00704  -0.0426   0.8629   0.0187
  -6.250  -0.4899   0.01229   0.00662  -0.0422   0.8555   0.0193
  -6.000  -0.4656   0.01183   0.00609  -0.0418   0.8479   0.0199
  -5.750  -0.4411   0.01139   0.00558  -0.0414   0.8411   0.0204
  -5.500  -0.4158   0.01102   0.00516  -0.0411   0.8340   0.0210
  -5.250  -0.3904   0.01070   0.00477  -0.0408   0.8275   0.0214
  -5.000  -0.3648   0.01033   0.00435  -0.0406   0.8204   0.0220
  -4.750  -0.3411   0.00972   0.00364  -0.0400   0.8139   0.0239
  -4.500  -0.3145   0.00945   0.00336  -0.0400   0.8072   0.0255
  -4.250  -0.2879   0.00923   0.00309  -0.0399   0.8011   0.0271
  -4.000  -0.2607   0.00904   0.00287  -0.0399   0.7952   0.0286
  -3.750  -0.2341   0.00874   0.00251  -0.0398   0.7889   0.0322
  -3.500  -0.2070   0.00855   0.00229  -0.0398   0.7832   0.0366
  -3.250  -0.1797   0.00832   0.00208  -0.0398   0.7770   0.0459
  -3.000  -0.1548   0.00771   0.00180  -0.0397   0.7712   0.1386
  -2.750  -0.1323   0.00657   0.00143  -0.0397   0.7657   0.3492
  -2.500  -0.1084   0.00572   0.00121  -0.0396   0.7599   0.5304
  -2.250  -0.0811   0.00557   0.00117  -0.0396   0.7546   0.5820
  -2.000  -0.0527   0.00549   0.00114  -0.0398   0.7492   0.6085
  -1.750  -0.0245   0.00544   0.00113  -0.0399   0.7439   0.6319
  -1.500   0.0036   0.00544   0.00113  -0.0400   0.7389   0.6532
