  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)-212                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.440     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4970   0.08435   0.08264  -0.0426   1.0000   0.0150
  -9.750  -0.5034   0.07840   0.07671  -0.0460   1.0000   0.0147
  -9.500  -0.5125   0.07123   0.06956  -0.0509   1.0000   0.0148
  -9.250  -0.5256   0.06291   0.06120  -0.0578   1.0000   0.0144
  -9.000  -0.5434   0.05633   0.05456  -0.0625   1.0000   0.0144
  -8.750  -0.5639   0.05093   0.04909  -0.0652   1.0000   0.0139
  -8.500  -0.5687   0.04534   0.04332  -0.0709   0.9744   0.0143
  -8.250  -0.5702   0.03921   0.03688  -0.0771   0.9445   0.0143
  -8.000  -0.5857   0.03635   0.03375  -0.0737   0.9145   0.0143
  -7.750  -0.5949   0.03330   0.03043  -0.0704   0.8957   0.0145
  -7.500  -0.5984   0.03014   0.02697  -0.0673   0.8813   0.0145
  -7.250  -0.5966   0.02678   0.02326  -0.0643   0.8697   0.0153
  -7.000  -0.5879   0.02376   0.01985  -0.0616   0.8597   0.0159
  -6.750  -0.5717   0.02153   0.01727  -0.0595   0.8501   0.0164
  -6.500  -0.5574   0.01867   0.01402  -0.0573   0.8418   0.0168
  -6.250  -0.5349   0.01705   0.01217  -0.0558   0.8334   0.0174
  -6.000  -0.5092   0.01583   0.01075  -0.0545   0.8261   0.0180
  -5.750  -0.4819   0.01495   0.00974  -0.0535   0.8187   0.0189
  -5.500  -0.4549   0.01395   0.00858  -0.0523   0.8121   0.0197
  -5.250  -0.4278   0.01308   0.00759  -0.0512   0.8049   0.0203
  -5.000  -0.4011   0.01235   0.00673  -0.0501   0.7984   0.0209
  -4.750  -0.3736   0.01173   0.00603  -0.0491   0.7913   0.0214
  -4.500  -0.3470   0.01113   0.00531  -0.0481   0.7849   0.0220
  -4.250  -0.3214   0.01035   0.00447  -0.0470   0.7786   0.0237
  -4.000  -0.2926   0.00994   0.00398  -0.0464   0.7724   0.0249
  -3.750  -0.2630   0.00961   0.00358  -0.0459   0.7668   0.0267
  -3.500  -0.2326   0.00933   0.00325  -0.0456   0.7606   0.0284
  -3.250  -0.2030   0.00900   0.00282  -0.0452   0.7549   0.0319
  -3.000  -0.1722   0.00874   0.00255  -0.0451   0.7493   0.0368
