  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.320     Re =     0.114 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.3422   0.10804   0.10342  -0.0391   1.0000   0.1187
  -8.750  -0.3690   0.10770   0.10321  -0.0396   1.0000   0.1195
  -8.500  -0.3960   0.10705   0.10268  -0.0390   1.0000   0.1199
  -8.250  -0.4231   0.10613   0.10188  -0.0374   1.0000   0.1200
  -8.000  -0.3516   0.09667   0.09228  -0.0321   1.0000   0.1250
  -7.750  -0.3547   0.09481   0.09048  -0.0296   1.0000   0.1276
  -7.500  -0.3642   0.09320   0.08894  -0.0273   1.0000   0.1302
  -7.250  -0.3802   0.09179   0.08762  -0.0251   1.0000   0.1334
  -7.000  -0.4070   0.09089   0.08683  -0.0231   1.0000   0.1363
  -6.750  -0.4469   0.09064   0.08670  -0.0208   1.0000   0.1379
  -6.500  -0.4871   0.08808   0.08405  -0.0315   0.9948   0.1402
  -6.250  -0.4582   0.08293   0.07903  -0.0260   0.9939   0.1426
  -6.000  -0.4284   0.07972   0.07581  -0.0261   0.9897   0.1471
  -5.500  -0.3950   0.07110   0.06704  -0.0377   0.9725   0.1657
  -5.250  -0.3834   0.06661   0.06232  -0.0465   0.9618   0.1818
  -5.000  -0.3623   0.06359   0.05936  -0.0453   0.9554   0.1850
  -4.750  -0.3411   0.06062   0.05634  -0.0469   0.9472   0.1915
  -4.500  -0.3143   0.05644   0.05198  -0.0526   0.9411   0.2052
  -4.250  -0.3017   0.05395   0.04944  -0.0521   0.9313   0.2097
  -4.000  -0.2766   0.05045   0.04571  -0.0557   0.9239   0.2245
  -3.750  -0.2440   0.03304   0.02576  -0.0630   0.9201   0.0887
  -3.500  -0.2311   0.03149   0.02387  -0.0602   0.9093   0.0889
  -3.250  -0.1950   0.02972   0.02170  -0.0613   0.9039   0.0904
  -3.000  -0.1504   0.02820   0.01982  -0.0637   0.9003   0.0932
  -2.750  -0.1356   0.02751   0.01892  -0.0610   0.8890   0.0952
  -2.500  -0.0946   0.02658   0.01770  -0.0626   0.8836   0.0989
  -2.250  -0.0485   0.02532   0.01647  -0.0655   0.8804   0.1084
  -2.000  -0.0358   0.02505   0.01617  -0.0623   0.8682   0.1133
  -1.750   0.0101   0.02392   0.01500  -0.0646   0.8630   0.1224
  -1.250   0.0745   0.02179   0.01347  -0.0644   0.8450   0.2234
  -1.000   0.1285   0.01999   0.01258  -0.0680   0.8409   0.4319
  -0.250   0.4043   0.01757   0.01118  -0.1011   0.8274   1.0000
  -0.000   0.4523   0.01709   0.01053  -0.1038   0.8215   1.0000
   0.250   0.4666   0.01725   0.01060  -0.1008   0.8080   1.0000
   0.500   0.5129   0.01678   0.00998  -0.1031   0.8012   1.0000
   0.750   0.5290   0.01690   0.01002  -0.1003   0.7871   1.0000
   1.000   0.5681   0.01655   0.00956  -0.1012   0.7779   1.0000
   1.250   0.5914   0.01653   0.00946  -0.0995   0.7645   1.0000
   1.500   0.6164   0.01653   0.00938  -0.0981   0.7517   1.0000
   1.750   0.6540   0.01624   0.00898  -0.0988   0.7411   1.0000
   2.000   0.6735   0.01634   0.00905  -0.0964   0.7256   1.0000
   2.250   0.6991   0.01631   0.00895  -0.0950   0.7105   1.0000
   2.500   0.7287   0.01620   0.00876  -0.0942   0.6955   1.0000
   2.750   0.7601   0.01607   0.00851  -0.0937   0.6800   1.0000
   3.000   0.7823   0.01616   0.00854  -0.0917   0.6618   1.0000
   3.250   0.8054   0.01625   0.00857  -0.0898   0.6431   1.0000
   3.500   0.8291   0.01637   0.00863  -0.0881   0.6238   1.0000
   3.750   0.8528   0.01652   0.00868  -0.0864   0.6037   1.0000
   4.000   0.8760   0.01672   0.00878  -0.0846   0.5836   1.0000
   4.250   0.8988   0.01700   0.00898  -0.0829   0.5644   1.0000
   4.500   0.9212   0.01735   0.00926  -0.0811   0.5466   1.0000
   4.750   0.9436   0.01774   0.00961  -0.0794   0.5297   1.0000
   5.000   0.9672   0.01814   0.00993  -0.0779   0.5143   1.0000
   5.250   0.9934   0.01853   0.01020  -0.0768   0.5003   1.0000
   5.500   1.0120   0.01899   0.01070  -0.0745   0.4854   1.0000
   5.750   1.0327   0.01944   0.01113  -0.0726   0.4711   1.0000
   6.000   1.0547   0.01982   0.01143  -0.0708   0.4564   1.0000
   6.250   1.0757   0.02018   0.01173  -0.0688   0.4414   1.0000
   6.500   1.0924   0.02064   0.01225  -0.0661   0.4272   1.0000
   6.750   1.1144   0.02116   0.01281  -0.0644   0.4155   1.0000
   7.000   1.1353   0.02165   0.01330  -0.0625   0.4031   1.0000
   7.250   1.1524   0.02221   0.01394  -0.0600   0.3904   1.0000
   7.500   1.1734   0.02274   0.01443  -0.0582   0.3773   1.0000
   7.750   1.1896   0.02327   0.01500  -0.0555   0.3636   1.0000
   8.000   1.2041   0.02391   0.01574  -0.0526   0.3501   1.0000
   8.250   1.2214   0.02455   0.01637  -0.0502   0.3361   1.0000
   8.500   1.2373   0.02517   0.01700  -0.0475   0.3206   1.0000
   8.750   1.2422   0.02582   0.01780  -0.0431   0.3052   1.0000
   9.000   1.2461   0.02649   0.01854  -0.0386   0.2893   1.0000
