  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.193 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3481   0.10761   0.10386  -0.0439   1.0000   0.0646
  -9.750  -0.3377   0.10553   0.10180  -0.0420   1.0000   0.0658
  -9.500  -0.3358   0.10330   0.09960  -0.0410   1.0000   0.0672
  -9.250  -0.3390   0.10100   0.09735  -0.0401   1.0000   0.0687
  -9.000  -0.3476   0.09872   0.09513  -0.0392   1.0000   0.0705
  -8.750  -0.3725   0.09660   0.09311  -0.0388   1.0000   0.0726
  -8.500  -0.4111   0.09509   0.09173  -0.0376   1.0000   0.0733
  -8.250  -0.4434   0.09383   0.09059  -0.0349   1.0000   0.0734
  -7.500  -0.4156   0.08230   0.07908  -0.0390   0.9932   0.0764
  -7.250  -0.3911   0.07828   0.07503  -0.0442   0.9875   0.0790
  -6.750  -0.3459   0.06249   0.05902  -0.0692   0.9727   0.0883
  -6.500  -0.3213   0.05898   0.05544  -0.0728   0.9663   0.0911
  -6.250  -0.2978   0.04756   0.04353  -0.0849   0.9591   0.0891
  -6.000  -0.2924   0.02569   0.01906  -0.0907   0.9509   0.0599
  -5.750  -0.2550   0.02388   0.01676  -0.0929   0.9467   0.0626
  -5.500  -0.2151   0.02232   0.01508  -0.0957   0.9440   0.0665
  -5.250  -0.1827   0.02150   0.01414  -0.0967   0.9379   0.0704
  -5.000  -0.1466   0.02034   0.01273  -0.0983   0.9328   0.0747
  -4.750  -0.1055   0.01947   0.01189  -0.1011   0.9300   0.0808
  -4.500  -0.0634   0.01843   0.01072  -0.1038   0.9278   0.0875
  -4.250  -0.0361   0.01795   0.01027  -0.1036   0.9194   0.0942
  -4.000   0.0007   0.01712   0.00942  -0.1053   0.9151   0.1029
  -3.750   0.0398   0.01641   0.00869  -0.1073   0.9120   0.1142
  -3.500   0.0662   0.01601   0.00830  -0.1068   0.9025   0.1253
  -3.250   0.1015   0.01538   0.00770  -0.1080   0.8977   0.1406
  -3.000   0.1301   0.01493   0.00729  -0.1079   0.8896   0.1573
  -2.750   0.1615   0.01436   0.00683  -0.1084   0.8826   0.1781
  -2.500   0.1905   0.01396   0.00649  -0.1083   0.8743   0.2024
  -2.250   0.2203   0.01350   0.00613  -0.1084   0.8661   0.2315
  -2.000   0.2477   0.01314   0.00588  -0.1081   0.8564   0.2648
  -1.750   0.2778   0.01271   0.00555  -0.1082   0.8483   0.3066
  -1.500   0.3034   0.01233   0.00536  -0.1076   0.8367   0.3561
  -1.250   0.3299   0.01178   0.00516  -0.1072   0.8266   0.4403
  -1.000   0.3523   0.01099   0.00508  -0.1057   0.8163   0.6400
  -0.750   0.3718   0.01041   0.00512  -0.1024   0.8044   0.8642
  -0.500   0.4350   0.01019   0.00483  -0.1091   0.7941   1.0000
   0.000   0.4868   0.01024   0.00455  -0.1078   0.7687   1.0000
   0.250   0.5123   0.01030   0.00449  -0.1072   0.7551   1.0000
   0.500   0.5382   0.01039   0.00444  -0.1066   0.7420   1.0000
   0.750   0.5646   0.01048   0.00439  -0.1061   0.7294   1.0000
   1.000   0.5914   0.01059   0.00435  -0.1057   0.7174   1.0000
   1.250   0.6170   0.01073   0.00439  -0.1051   0.7041   1.0000
   1.500   0.6428   0.01087   0.00444  -0.1046   0.6913   1.0000
   1.750   0.6692   0.01104   0.00450  -0.1042   0.6796   1.0000
   2.250   0.7218   0.01138   0.00467  -0.1034   0.6568   1.0000
   2.500   0.7481   0.01158   0.00480  -0.1030   0.6460   1.0000
   3.000   0.8007   0.01198   0.00507  -0.1023   0.6254   1.0000
   3.250   0.8273   0.01220   0.00523  -0.1020   0.6159   1.0000
   3.500   0.8537   0.01242   0.00540  -0.1016   0.6064   1.0000
   3.750   0.8796   0.01265   0.00562  -0.1013   0.5968   1.0000
   4.000   0.9067   0.01289   0.00577  -0.1010   0.5882   1.0000
   4.250   0.9319   0.01311   0.00603  -0.1006   0.5784   1.0000
   4.500   0.9588   0.01337   0.00624  -0.1003   0.5701   1.0000
   4.750   0.9840   0.01360   0.00649  -0.0998   0.5603   1.0000
   5.000   1.0101   0.01386   0.00674  -0.0995   0.5516   1.0000
   5.250   1.0356   0.01410   0.00698  -0.0990   0.5421   1.0000
   5.500   1.0607   0.01436   0.00726  -0.0985   0.5324   1.0000
   5.750   1.0868   0.01462   0.00746  -0.0981   0.5230   1.0000
   6.000   1.1102   0.01483   0.00776  -0.0972   0.5116   1.0000
   6.250   1.1342   0.01506   0.00800  -0.0965   0.5001   1.0000
   6.500   1.1582   0.01529   0.00820  -0.0957   0.4881   1.0000
   6.750   1.1811   0.01550   0.00842  -0.0947   0.4753   1.0000
   7.000   1.2030   0.01571   0.00870  -0.0936   0.4620   1.0000
   7.250   1.2250   0.01595   0.00898  -0.0925   0.4486   1.0000
   7.500   1.2466   0.01621   0.00927  -0.0914   0.4349   1.0000
   7.750   1.2674   0.01647   0.00956  -0.0901   0.4204   1.0000
   8.000   1.2873   0.01674   0.00987  -0.0887   0.4045   1.0000
   8.250   1.3063   0.01703   0.01020  -0.0871   0.3870   1.0000
   8.500   1.3239   0.01738   0.01057  -0.0853   0.3676   1.0000
   8.750   1.3396   0.01782   0.01098  -0.0833   0.3460   1.0000
   9.000   1.3535   0.01835   0.01148  -0.0810   0.3203   1.0000
   9.250   1.3643   0.01904   0.01209  -0.0783   0.2913   1.0000
   9.500   1.3699   0.01990   0.01283  -0.0748   0.2598   1.0000
   9.750   1.3720   0.02105   0.01379  -0.0710   0.2259   1.0000
  10.000   1.3725   0.02244   0.01500  -0.0673   0.1894   1.0000
